order_id,customer_id,order_date,amount,status
1,68,2024-11-13,1005.6,Pending
2,465,2025-09-18,338.49,Cancelled
3,123,2024-01-13,868.38,Completed
4,536,2025-06-13,799.02,Completed
5,31,2024-12-09,1817.32,Pending
6,509,2025-04-11,2334.17,Cancelled
7,262,2024-04-15,1194.99,Cancelled
8,3,2024-02-15,326.36,Completed
9,184,2024-02-06,2381.05,Cancelled
10,586,2025-01-16,128.59,Completed
11,48,2025-02-14,1855.43,Completed
12,378,2024-07-24,778.49,Completed
13,201,2025-07-13,527.08,Completed
14,355,2025-10-13,1324.19,Completed
15,211,2025-06-26,1675.4,Completed
16,423,2025-12-18,574.11,Completed
17,607,2025-08-04,1512.43,Completed
18,326,2025-04-08,1535.52,Completed
19,160,2024-04-18,968.48,Completed
20,316,2025-04-19,287.19,Completed
21,722,2025-12-14,631.54,Cancelled
22,94,2025-12-29,2001.23,Completed
23,32,2025-02-18,376.63,Pending
24,13,2024-03-04,437.96,Completed
25,597,2025-08-23,431.79,Completed
26,662,2025-03-30,88.24,Completed
27,44,2025-04-17,1887.66,Completed
28,509,2024-01-31,989.84,Pending
29,629,2025-09-26,672.86,Cancelled
30,491,2024-03-03,770.09,Completed
31,646,2025-07-10,3529.24,Completed
32,330,2025-02-01,771.44,Completed
33,288,2024-02-29,1439.47,Pending
34,273,2025-06-30,1027.48,Completed
35,243,2025-08-29,2740.41,Completed
36,578,2024-05-25,147.86,Cancelled
37,503,2024-02-08,1194.99,Completed
38,21,2025-06-23,516.57,Pending
39,134,2024-12-14,1894.21,Completed
40,539,2025-01-08,658.57,Completed
41,331,2024-05-19,891.2,Completed
42,366,2024-08-16,742.02,Cancelled
43,131,2024-06-30,2981.95,Completed
44,655,2025-08-02,2178.24,Completed
45,726,2025-11-17,1838.98,Completed
46,738,2024-01-02,1378.51,Completed
47,560,2025-01-19,2914.46,Completed
48,302,2024-01-21,700.27,Completed
49,750,2024-03-17,208.92,Cancelled
50,495,2025-12-22,1376.99,Completed
51,195,2025-02-23,901.02,Cancelled
52,586,2025-07-16,896.78,Pending
53,302,2025-11-08,1660.68,Cancelled
54,119,2024-11-11,1097.97,Pending
55,391,2025-01-13,608.07,Completed
56,64,2024-06-03,321.36,Completed
57,424,2025-08-26,49.42,Completed
58,429,2025-07-02,1522.06,Pending
59,515,2025-08-07,403.25,Cancelled
60,198,2024-05-09,3041.52,Completed
61,328,2024-03-09,2494.16,Completed
62,718,2025-09-30,1418.55,Cancelled
63,577,2024-04-13,1019.3,Completed
64,624,2025-04-29,1546.93,Completed
65,698,2025-12-11,210.3,Pending
66,51,2025-05-01,2044.14,Completed
67,713,2025-12-02,1602.98,Completed
68,276,2025-03-02,763.86,Cancelled
69,417,2025-05-11,824.77,Cancelled
70,414,2024-05-18,128.59,Cancelled
71,60,2024-09-12,739.06,Completed
72,407,2025-10-12,408.82,Completed
73,609,2025-04-01,3689.23,Completed
74,292,2024-01-29,1302.57,Pending
75,227,2025-10-24,1768.59,Completed
76,699,2024-01-10,401.07,Pending
77,259,2025-09-14,1471.86,Completed
78,478,2024-11-05,2214.11,Cancelled
79,624,2024-10-16,110.64,Completed
80,284,2025-10-17,2215.48,Completed
81,530,2024-09-03,1259.69,Completed
82,266,2025-03-04,909.92,Pending
83,703,2025-07-01,567.93,Pending
84,186,2024-10-27,3133.01,Completed
85,671,2024-04-01,1217.96,Completed
86,267,2025-08-22,2128.31,Completed
87,73,2025-04-28,644.01,Completed
88,543,2024-11-01,214.67,Pending
89,206,2024-12-16,2342.21,Pending
90,321,2025-10-11,629.34,Completed
91,173,2025-08-13,3231.64,Completed
92,489,2025-01-27,40.06,Completed
93,15,2024-11-25,1752.48,Cancelled
94,232,2025-12-11,2548.36,Completed
95,67,2024-02-16,3233.18,Completed
96,704,2024-05-17,2204.75,Completed
97,217,2024-01-23,1590.25,Cancelled
98,385,2025-10-17,326.76,Completed
99,670,2024-01-21,102.4,Completed
100,127,2025-07-14,1773.59,Completed
101,678,2024-04-13,1738.01,Cancelled
102,737,2025-09-24,590.81,Completed
103,536,2024-07-25,1376.09,Completed
104,241,2024-01-03,487.29,Completed
105,686,2025-05-20,1334.76,Completed
106,741,2024-04-13,1036.46,Completed
107,103,2024-06-27,1140.76,Completed
108,47,2024-01-10,629.08,Completed
109,275,2024-04-05,1777.2,Completed
110,707,2025-05-04,1067.13,Pending
111,164,2024-04-16,1835.49,Pending
112,30,2025-12-01,1564.09,Completed
113,13,2025-12-22,1803.78,Cancelled
114,98,2025-03-19,2138.67,Completed
115,56,2024-01-12,1484.12,Completed
116,285,2024-02-21,615.12,Cancelled
117,81,2025-04-15,2657.32,Pending
118,106,2025-02-17,1323.27,Pending
119,94,2025-09-10,2145.03,Cancelled
120,350,2025-01-07,1465.77,Completed
121,615,2025-04-29,890.89,Completed
122,561,2025-06-18,108.89,Completed
123,144,2025-02-23,1382.07,Completed
124,469,2024-07-14,499.94,Completed
125,649,2025-11-19,598.0,Cancelled
126,675,2025-08-26,1307.77,Cancelled
127,567,2025-03-19,2624.03,Cancelled
128,107,2025-01-31,984.33,Cancelled
129,281,2025-02-11,1668.21,Completed
130,307,2025-12-19,2686.8,Cancelled
131,215,2025-10-01,2586.83,Completed
132,556,2025-12-11,248.68,Completed
133,492,2025-08-19,1791.56,Cancelled
134,110,2024-01-26,1319.28,Pending
135,165,2024-10-20,629.69,Completed
136,555,2024-02-03,1720.68,Completed
137,399,2024-08-31,2491.43,Cancelled
138,566,2024-02-25,1039.34,Completed
139,603,2025-07-13,2098.62,Cancelled
140,182,2025-11-30,560.84,Completed
141,42,2025-03-14,948.98,Completed
142,727,2024-06-07,917.34,Completed
143,678,2024-11-04,2398.61,Pending
144,70,2025-06-01,1269.17,Completed
145,340,2025-01-04,1447.01,Completed
146,665,2024-01-10,1394.73,Completed
147,41,2025-11-29,1729.34,Completed
148,384,2025-06-10,1556.58,Cancelled
149,172,2025-07-04,344.85,Cancelled
150,687,2025-10-06,1057.21,Completed
151,663,2024-03-14,1053.66,Completed
152,39,2024-03-30,257.18,Completed
153,73,2025-08-11,2163.17,Completed
154,18,2025-02-02,222.93,Completed
155,65,2025-08-22,1146.96,Completed
156,297,2025-12-03,638.5,Completed
157,405,2025-11-07,2528.26,Completed
158,650,2024-05-27,1808.44,Completed
159,6,2025-08-09,2261.94,Cancelled
160,217,2025-02-26,1120.41,Cancelled
161,199,2024-04-27,1423.8,Completed
162,661,2025-07-16,988.92,Completed
163,499,2024-12-04,686.45,Completed
164,635,2024-03-12,1015.97,Completed
165,157,2025-08-02,1119.8,Cancelled
166,227,2025-12-30,1471.71,Pending
167,474,2025-04-01,523.35,Completed
168,288,2024-05-23,1314.45,Cancelled
169,745,2024-03-18,1432.35,Completed
170,415,2025-08-27,112.16,Completed
171,553,2025-04-28,728.96,Completed
172,476,2025-05-28,210.3,Cancelled
173,11,2025-11-09,1566.93,Completed
174,184,2025-08-02,675.15,Cancelled
175,225,2025-05-14,334.02,Completed
176,44,2025-11-15,1578.74,Completed
177,665,2024-11-27,684.18,Completed
178,386,2025-10-31,1982.12,Pending
179,229,2025-06-12,1909.7,Pending
180,514,2024-05-22,923.54,Pending
181,217,2024-06-02,601.4,Completed
182,425,2024-12-04,798.39,Completed
183,250,2024-02-14,1400.6,Completed
184,151,2024-02-27,2263.85,Completed
185,737,2025-11-08,631.54,Completed
186,483,2025-05-08,350.42,Completed
187,187,2025-09-30,1740.61,Cancelled
188,605,2024-03-11,2255.73,Completed
189,154,2025-09-12,1386.75,Completed
190,516,2024-04-30,787.64,Completed
191,535,2025-03-06,917.28,Completed
192,235,2025-05-08,2635.94,Pending
193,138,2024-09-17,1445.04,Pending
194,419,2024-09-20,54.84,Completed
195,592,2025-06-19,670.32,Completed
196,705,2024-11-19,626.59,Pending
197,549,2025-03-09,975.17,Cancelled
198,566,2025-07-24,921.36,Pending
199,315,2025-08-14,2127.25,Completed
200,103,2024-08-07,2714.81,Cancelled
201,165,2025-02-02,13.26,Completed
202,615,2025-03-21,167.01,Completed
203,82,2025-09-15,3935.81,Completed
204,180,2025-10-17,2997.03,Pending
205,614,2025-06-06,443.55,Cancelled
206,245,2025-11-01,1464.22,Completed
207,686,2025-02-08,948.01,Pending
208,93,2025-07-16,2240.5,Completed
209,589,2024-01-05,728.31,Completed
210,516,2024-10-28,639.99,Completed
211,551,2025-08-11,2170.74,Completed
212,601,2024-01-29,167.01,Pending
213,649,2024-08-13,2474.12,Completed
214,255,2024-10-21,1681.56,Completed
215,322,2024-12-28,1326.38,Completed
216,241,2024-09-04,410.16,Completed
217,365,2024-06-08,270.51,Completed
218,629,2024-01-07,949.2,Cancelled
219,636,2024-11-18,545.93,Pending
220,591,2024-05-11,3362.41,Completed
221,469,2024-05-03,2265.49,Cancelled
222,334,2025-01-05,1530.55,Cancelled
223,352,2025-01-09,891.06,Completed
224,462,2024-07-03,1366.07,Cancelled
225,242,2025-07-22,2102.02,Pending
226,432,2025-05-26,3108.01,Completed
227,408,2024-04-11,631.54,Completed
228,645,2024-04-08,1379.07,Pending
229,21,2025-02-25,1790.59,Completed
230,179,2024-10-18,909.69,Completed
231,629,2024-10-20,310.49,Pending
232,647,2025-09-19,1778.54,Cancelled
233,728,2024-09-30,3927.28,Cancelled
234,172,2024-07-07,456.4,Completed
235,216,2024-06-19,144.14,Pending
236,562,2024-02-25,2208.7,Completed
